rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
130,Madagascar,Africa,29452714,11192031,7952233,559602,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,,0,0,0,0,0,0,4,0,112210000,3028500000,51255000000,2632000000,91,15830000,13,29,836,31640,0,19000,0,0,0,0,0,511000,150000000,587040,4828,0,600
131,Nicaragua,North America,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,,0,0,0,0,0,0,23,0,92000000,9053000000,51088000000,5447000000,39,3264000,5,5,0,23897,200,36000,0,0,0,0,0,0,0,130370,910,1253,2220
132,Bosnia and Herzegovina,Europe,3798671,2355176,1956316,49383,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,,0,0,0,0,0,0,0,0,216400000,7760500000,63769000000,9205000000,13,1369000,1,0,965,22926,0,36000,0,0,225824000,0,14114000,14766000,2264000000,51197,20,1543,990
133,Gabon,Africa,2455105,932940,532758,46647,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,,0,0,0,0,0,0,4,0,274820000,6280000000,48201000000,1568196000,40,763000,9,87,649,14300,204000,16000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600
134,Moldova,Europe,3599528,2159717,1792565,71991,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,,0,0,0,0,0,0,0,0,1710000000,4565500000,38969000000,5453000000,11,1464000,0,75,1171,9352,0,22000,0,10000,2344000000,0,0,120000,0,33851,0,1885,558
135,Iceland,Europe,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,,0,0,0,0,0,0,0,0,312400000,22000000000,26155000000,5809000000,83,239000,43,39,0,12898,0,18000,0,0,0,0,0,188000,0,100250,4970,0,0
136,Panama,North America,4470241,2011608,1206965,53643,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,,0,0,0,0,0,0,27,0,917202000,1.11553E+12,1.59867E+11,6757000000,76,2096000,12,8174,77,11978,0,146000,0,0,389611000,0,0,837000,0,75420,2490,687,800
137,Beliz,North America,415789,158000,90226,8732,1650,850,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,,0,0,0,0,0,0,8,0,29538000,1248000000,5257000000,473729000,27,190000,2,774,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825
138,Liberia,Africa,5437249,2392390,1913912,65247,1500,0,5500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,,0,0,0,0,0,0,4,0,364800000,830923000,8884000000,599660000,99,2499000,4,4821,429,10600,0,4000,0,0,0,0,0,0,0,111369,579,1667,0
139,Suriname,South America,646758,142287,84079,3234,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,,0,0,0,0,0,0,17,0,144000000,2200000000,11824000000,1346000000,55,250000,4,13,0,4304,14000,15000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200
140,Sierra Leone,Africa,9121049,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,,0,0,0,0,0,0,7,0,228600000,2687000000,14633000000,495699000,8,2913000,3,584,0,11701,0,9000,0,0,0,0,0,0,0,71740,402,1093,800
141,Kosovo,Europe,1977093,917371,743387,17794,10000,5000,500,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,,0,0,0,0,0,0,0,0,260715150,2750000000,23794000000,1245000000,4,500300,0,0,437,2012,0,15000,0,0,0,0,9074000,8927000,1564000000,10887,0,714,0
142,Somalia,Africa,13017273,2993973,1796384,130173,15000,0,2000,0,0,0,0,0,0,0,0,0,0,682,0,0,0,10,,0,0,0,0,0,0,10,0,171002350,5830000000,26351000000,16747500,38,3277000,6,4,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,3025,2385,0
143,Central African Republic,Africa,5650957,2203873,1254512,101717,10000,0,1000,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,,0,0,0,0,0,0,0,0,45990000,666293000,5849000000,374405000,43,2114000,0,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,0,5920,2800
144,Benin,Africa,14697052,5584880,3189260,308638,4750,0,0,5,0,0,0,0,0,0,5,0,0,92,0,16,0,2,,0,0,0,0,0,0,2,0,98350000,4066500000,52510000000,698900000,10,4964000,1,6,438,16000,0,46000,8000000,0,182131000,1133000000,0,45000,0,112622,121,2123,150
145,Bhutan,Asia,884546,203446,122067,4423,7500,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,,0,0,0,0,0,0,0,0,14000000,2757000000,10981000000,976260000,4,430000,0,0,0,12205,0,3000,0,0,0,0,177000,325000,0,38394,0,1136,0
